,database,database_id,uniprot_id,title,organism,taxonomy_id,evidence_level,protein,fold
0,sp,Q072L5,VM2_BOTAS,Zinc metalloproteinase/disintegrin,Bothrops asper,8722,1,Clustered_Disintegrins,val
1,sp,Q9IAB0,VM2CO_AGKCO,Zinc metalloproteinase/disintegrin,Agkistrodon contortrix contortrix,8713,1,Clustered_Disintegrins,train
2,sp,A3R0T9,VM3_OPHHA,Zinc metalloproteinase-disintegrin-like ohanin,Ophiophagus hannah,8665,1,Clustered_Disintegrins,test
3,sp,P0DJ44,VM3_VIPAA,Zinc metalloproteinase-disintegrin-like VaH1 (Fragment),Vipera ammodytes ammodytes,8705,1,Clustered_Disintegrins,train
4,sp,P0DJ43,VM3_MICIK,Zinc metalloproteinase-disintegrin-like mikarin (Fragment),Micropechis ikaheca,66188,1,Clustered_Disintegrins,train
5,sp,C0L2T8,VM2C1_CRODO,Zinc metalloproteinase/disintegrin,Crotalus durissus collilineatus,221569,1,Clustered_Disintegrins,train
6,sp,P0C7B1,VM3BG_BOTAL,Zinc metalloproteinase-disintegrin-like BaG (Fragment),Bothrops alternatus,64174,1,Clustered_Disintegrins,train
7,sp,U5PZ28,VM2H1_BOTLA,Zinc metalloproteinase-disintegrin BlatH1,Bothriechis lateralis,44727,1,Clustered_Disintegrins,train
8,sp,P0DJE2,VM3A_VIPAA,Zinc metalloproteinase-disintegrin-like ammodytagin (Fragment),Vipera ammodytes ammodytes,8705,1,Clustered_Disintegrins,train
9,sp,P0C6E8,VM3G1_CRAGM,Zinc metalloproteinase/disintegrin (Fragment),Craspedocephalus gramineus,8767,1,Clustered_Disintegrins,train
10,sp,Q90495,VM3E_ECHCA,Zinc metalloproteinase-disintegrin-like ecarin,Echis carinatus,40353,1,Clustered_Disintegrins,train
11,sp,P0C6E3,VM2B1_AGKBI,Zinc metalloproteinase-disintegrin bilitoxin-1,Agkistrodon bilineatus,8718,1,Clustered_Disintegrins,train
12,sp,Q2LD49,VM3TM_TRIST,Zinc metalloproteinase-disintegrin-like TSV-DM,Trimeresurus stejnegeri,39682,1,Clustered_Disintegrins,val
13,sp,D6PXE8,VM3B_NAJAT,Zinc metalloproteinase-disintegrin-like atrase-B,Naja atra,8656,1,Clustered_Disintegrins,test
14,sp,O93523,VM3BP_BOTJA,Zinc metalloproteinase-disintegrin-like bothropasin,Bothrops jararaca,8724,1,Clustered_Disintegrins,train
15,sp,Q6T271,VM2BI_BITGA,Zinc metalloproteinase/disintegrin (Fragment),Bitis gabonica,8694,1,Clustered_Disintegrins,train
16,sp,Q8UVG0,VM3BE_BOTER,Zinc metalloproteinase-disintegrin-like berythractivase,Bothrops erythromelas,44710,1,Clustered_Disintegrins,train
17,sp,P0DM90,VM32B_GLOBR,Zinc metalloproteinase-disintegrin-like brevilysin H2b,Gloydius brevicauda,3148161,1,Clustered_Disintegrins,train
18,sp,Q14FJ4,VM2OC_ECHOC,Zinc metalloproteinase/disintegrin,Echis ocellatus,99586,1,Clustered_Disintegrins,val
19,sp,Q1PHZ4,VM3B1_BOTJR,Zinc metalloproteinase-disintegrin-like BjussuMP-1 (Fragment),Bothrops jararacussu,8726,1,Clustered_Disintegrins,train
20,sp,Q10749,VM3M1_NAJMO,Snake venom metalloproteinase-disintegrin-like mocarhagin,Naja mossambica,8644,1,Clustered_Disintegrins,train
21,sp,B8K1W0,VM3DK_DABRR,Zinc metalloproteinase-disintegrin-like daborhagin-K,Daboia russelii,8707,1,Clustered_Disintegrins,train
22,sp,P30403,VM2RH_CALRH,Zinc metalloproteinase/disintegrin,Calloselasma rhodostoma,8717,1,Clustered_Disintegrins,train
23,sp,Q90YA6,VM2E2_PROEL,Zinc metalloproteinase/disintegrin,Protobothrops elegans,88086,1,Clustered_Disintegrins,train
24,sp,P20164,VM3HB_PROFL,Zinc metalloproteinase-disintegrin-like HR1b,Protobothrops flavoviridis,88087,1,Clustered_Disintegrins,train
25,sp,Q98995,VM2L2_MACLB,Zinc metalloproteinase/disintegrin,Macrovipera lebetinus,3148341,1,Clustered_Disintegrins,train
26,sp,Q4VM08,VM3VA_MACLB,Zinc metalloproteinase-disintegrin-like VLAIP-A,Macrovipera lebetinus,3148341,1,Clustered_Disintegrins,train
27,sp,P17347,VM2EA_ECHCS,Disintegrin metalloproteinase/disintegrin echistatin (Fragment),Echis carinatus sochureki,124223,1,Clustered_Disintegrins,val
28,sp,Q2UXQ5,VM3E2_ECHOC,Zinc metalloproteinase-disintegrin-like EoVMP2,Echis ocellatus,99586,1,Clustered_Disintegrins,train
29,sp,A0A0B4U9L8,VMF1_VIPAA,Zinc metalloproteinase-disintegrin-like protein F1,Vipera ammodytes ammodytes,8705,1,Clustered_Disintegrins,train
30,sp,A8QL49,VM3_BUNMU,Zinc metalloproteinase-disintegrin-like BmMP,Bungarus multicinctus,8616,1,Clustered_Disintegrins,train
31,sp,E9NW26,VM2P1_PROMU,Zinc metalloproteinase/disintegrin PMMP-1,Protobothrops mucrosquamatus,103944,2,Clustered_Disintegrins,train
32,sp,O73795,VM2MB_GLOBR,Zinc metalloproteinase/disintegrin,Gloydius brevicauda,3148161,2,Clustered_Disintegrins,train
33,sp,D8VNS0,VM3_CERRY,Zinc metalloproteinase-disintegrin-like,Cerberus rynchops,46267,1,Clustered_Disintegrins,train
34,sp,E9NW27,VM2P2_PROMU,Zinc metalloproteinase/disintegrin PMMP-2,Protobothrops mucrosquamatus,103944,2,Clustered_Disintegrins,train
35,sp,P0DM97,VM25A_BITAR,Zinc metalloproteinase-disintegrin BA-5A,Bitis arietans,8692,2,Clustered_Disintegrins,train
36,sp,Q90220,VM2H1_GLOHA,Zinc metalloproteinase/disintegrin,Gloydius halys,8714,2,Clustered_Disintegrins,train
37,sp,Q8AWX7,VM2AG_GLOHA,Zinc metalloproteinase-disintegrin agkistin,Gloydius halys,8714,2,Clustered_Disintegrins,train
38,sp,A0A6B7FMR5,VMMP3_VIPAA,Disintegrin-like/cysteine-rich protein MPIII-3,Vipera ammodytes ammodytes,8705,1,Clustered_Disintegrins,train
39,sp,C0HL97,VM3_CROVE,Zinc metalloproteinase-disintegrin-like uracoina-1 (Fragment),Crotalus vegrandis,184545,1,Clustered_Disintegrins,train
40,sp,J3S830,VM33_CROAD,Zinc metalloproteinase-disintegrin-like 3a,Crotalus adamanteus,8729,1,Clustered_Disintegrins,train
41,sp,V5TBK6,VMH4A_VIPAA,Zinc metalloproteinase-disintegrin-like protein H4 subunit A,Vipera ammodytes ammodytes,8705,1,Clustered_Disintegrins,train
42,sp,F8RKW0,VM38_DRYCN,Zinc metalloproteinase-disintegrin-like MTP8,Drysdalia coronoides,66186,1,Clustered_Disintegrins,train
43,sp,P0DM88,VM3_PROJR,Zinc metalloproteinase-disintegrin-like jerdohagin (Fragment),Protobothrops jerdonii,242841,1,Clustered_Disintegrins,train
44,sp,Q9PWJ0,VM2A2_DEIAC,Zinc metalloproteinase/disintegrin,Deinagkistrodon acutus,36307,1,Clustered_Disintegrins,train
45,sp,Q98UF9,VM3H3_BOTJA,Zinc metalloproteinase-disintegrin-like HF3,Bothrops jararaca,8724,1,Clustered_Disintegrins,test
