,Unnamed: 0,database,database_id,uniprot_id,title,organism,taxonomy_id,evidence_level,protein,fold,label_index
0,0,sp,Q91516,VSPPA_TRIST,Venom plasminogen activator TSV-PA,Trimeresurus stejnegeri,39682,1,Snake_Venom_Serine_Proteases(SVSP),train,4
1,1,sp,E0Y419,VSPBF_MACLB,Beta-fibrinogenase,Macrovipera lebetinus,3148341,1,Snake_Venom_Serine_Proteases(SVSP),train,4
2,2,sp,Q9PTU8,VSP3_BOTJA,Snake venom serine protease BPA,Bothrops jararaca,8724,1,Snake_Venom_Serine_Proteases(SVSP),train,4
3,3,sp,Q8AY79,VSPS2_TRIST,Beta-fibrinogenase stejnefibrase-2,Trimeresurus stejnegeri,39682,1,Snake_Venom_Serine_Proteases(SVSP),train,4
4,4,sp,Q8JH85,VSPA_MACLB,Alpha-fibrinogenase,Macrovipera lebetinus,3148341,1,Snake_Venom_Serine_Proteases(SVSP),train,4
5,5,sp,Q27J47,VSPPA_LACMU,Venom plasminogen activator LV-PA,Lachesis muta muta,8753,1,Snake_Venom_Serine_Proteases(SVSP),train,4
6,6,sp,P09872,VSPCA_AGKCO,Protein C activator,Agkistrodon contortrix contortrix,8713,1,Snake_Venom_Serine_Proteases(SVSP),val,4
7,7,sp,Q5MCS0,VSPHA_HYDHA,Serine protease harobin,Hydrophis hardwickii,8781,1,Snake_Venom_Serine_Proteases(SVSP),train,4
8,8,sp,A8QL56,VSP1_OPHHA,Alpha- and beta-fibrinogenase OhS1,Ophiophagus hannah,8665,1,Snake_Venom_Serine_Proteases(SVSP),train,4
9,9,sp,P0DPS3,VASP1_VIPAA,Snake venom serine protease VaSP1 (Fragment),Vipera ammodytes ammodytes,8705,1,Snake_Venom_Serine_Proteases(SVSP),train,4
10,10,sp,Q8AY80,VSPS1_TRIST,Alpha- and beta-fibrinogenase stejnefibrase-1,Trimeresurus stejnegeri,39682,1,Snake_Venom_Serine_Proteases(SVSP),test,4
11,11,sp,Q5W959,VSP14_BOTJA,Snake venom serine protease HS114,Bothrops jararaca,8724,1,Snake_Venom_Serine_Proteases(SVSP),train,4
12,12,sp,Q9PT41,VSPF5_MACLB,Factor V activator,Macrovipera lebetinus,3148341,1,Snake_Venom_Serine_Proteases(SVSP),train,4
13,13,sp,K4LLQ2,VSP_BOTBA,Thrombin-like enzyme barnettobin (Fragment),Bothrops barnetti,1051630,1,Snake_Venom_Serine_Proteases(SVSP),train,4
14,14,sp,Q9I8X1,VSPP_DEIAC,Snake venom serine protease Dav-PA,Deinagkistrodon acutus,36307,1,Snake_Venom_Serine_Proteases(SVSP),train,4
15,15,sp,P85109,VSP1_GLOBR,Thrombin-like enzyme kangshuanmei,Gloydius brevicauda,3148161,1,Snake_Venom_Serine_Proteases(SVSP),train,4
16,16,sp,B7S4N9,VKT_OXYSC,Kunitz-type serine protease inhibitor taicotoxin,Oxyuranus scutellatus scutellatus,8667,1,Snake_Venom_Serine_Proteases(SVSP),train,4
17,17,sp,Q8AY81,VSPST_TRIST,Thrombin-like enzyme stejnobin,Trimeresurus stejnegeri,39682,1,Snake_Venom_Serine_Proteases(SVSP),train,4
18,18,sp,E0Y421,VSPY_MACLB,Chymotrypsin-like protease VLCTLP,Macrovipera lebetinus,3148341,1,Snake_Venom_Serine_Proteases(SVSP),train,4
19,19,sp,P0CG03,VSPBH_BOTAL,Thrombin-like enzyme bhalternin,Bothrops alternatus,64174,1,Snake_Venom_Serine_Proteases(SVSP),train,4
20,20,sp,Q072L6,VSPL_BOTAS,Thrombin-like enzyme asperase,Bothrops asper,8722,1,Snake_Venom_Serine_Proteases(SVSP),train,4
21,21,sp,P0DL26,VSP27_BOTPI,Thrombin-like enzyme BpirSP27 (Fragment),Bothrops pirajai,113192,1,Snake_Venom_Serine_Proteases(SVSP),train,4
22,22,sp,P0C5B4,VSPGL_GLOSH,Thrombin-like enzyme gloshedobin,Gloydius shedaoensis,88083,1,Snake_Venom_Serine_Proteases(SVSP),train,4
23,23,sp,P0DL27,VSP41_BOTPI,Thrombin-like enzyme BpirSP41 (Fragment),Bothrops pirajai,113192,1,Snake_Venom_Serine_Proteases(SVSP),test,4
24,24,sp,P0DJE9,VSP1_BOTMA,Thrombin-like enzyme TLBm,Bothrops marajoensis,157554,1,Snake_Venom_Serine_Proteases(SVSP),train,4
25,25,sp,P18965,VSPG_DABSI,Factor V activator RVV-V gamma,Daboia siamensis,343250,1,Snake_Venom_Serine_Proteases(SVSP),test,4
26,26,sp,F8S114,VSPCR_CROAD,Thrombin-like enzyme crotalase,Crotalus adamanteus,8729,1,Snake_Venom_Serine_Proteases(SVSP),test,4
27,27,sp,P0DJG3,VSP1_BOTAN,Thrombin-like enzyme TLBan (Fragment),Bothrocophias andianus,1144373,1,Snake_Venom_Serine_Proteases(SVSP),train,4
28,28,sp,Q58L96,FAXC_OXYSU,Venom prothrombin activator oscutarin-C catalytic subunit,Oxyuranus scutellatus,8668,1,Snake_Venom_Serine_Proteases(SVSP),train,4
29,29,sp,P18964,VSPA_DABSI,Factor V activator RVV-V alpha,Daboia siamensis,343250,1,Snake_Venom_Serine_Proteases(SVSP),val,4
